category,type,title,url
雲端,0,"2020 Red Hat Forum 亞太區線上虛擬論壇開跑，數據中台議題受關注",https://technews.tw/2020/11/09/2020-red-hat-forum/
雲端,1,"Google 相簿停止高畫質影像免費無上限儲存，明年 6/1 起生效",https://technews.tw/2020/11/12/google-photos-will-end-its-free-unlimited-storage-on-june-1st-2021/
零組件,1,"Sony 推出「黑科技」螢幕，看 3D 電影終於不用戴眼鏡了",https://technews.tw/2020/11/14/sony-elfsr1-3d-display/
財經,1,「搶賺快錢，我們自食惡果！」士林夜市慘痛告白,https://technews.tw/2020/11/14/the-plight-of-shilin-night-market/
財經,0,"一次讀懂「拜登經濟學」，2021 年台股投資策略全解析",https://technews.tw/2020/11/15/biden-economics-taiwan-stock/
能源科技,1,"中油海外探採有成，查德礦區原油 12 月運回台灣",https://technews.tw/2020/11/12/cpc-tchad-oil/
尖端科技,1,人為控制閃電，科學家想開發雷射牽引光束技術引導閃電落點,https://technews.tw/2020/11/12/lightning-bushfires-laser-tractor-beam-technology/
醫療科技,1,仿生手套立大功，讓巴西鋼琴家放手彈琴,https://technews.tw/2020/11/15/bionic-gloves-help-keep-the-music-playing-for-brazilian-pianist/
太陽能,0,"助能源轉型一臂之力，AISWEI 50kW 商用太陽能逆變器亮眼登場",https://technews.tw/2020/11/10/aiswei-50kw-zever-solar/
生物科技,0,勝任緝毒、搜救工作，狗的嗅覺為何如此靈敏？,https://technews.tw/2020/11/15/dog-sense-of-smell/
零組件,1,"可嵌入手機，三星研發首個超薄互動全像顯示螢幕，即時生成 4K 影片",https://technews.tw/2020/11/15/samsung-produces-the-first-slim-panel-holographic-video-display-screen/
零組件,1,國巨與成大創共研中心，開發高階被動元件材料,https://technews.tw/2020/11/14/yageo-ncku-alliance-rd-center/
能源科技,1,在都市也可以發展陸上風電？南韓新型垂直軸風電塔的新機會,https://technews.tw/2020/11/13/odin-energy-vawt/
能源科技,0,太陽能火災防護必知重點，「快速關斷」迅速降壓重要性不可言喻,https://technews.tw/2020/11/12/solar-edge-safe-dc/
雲端,1,"字節跳動小遊戲與 Unity 達成合作",https://technews.tw/2020/11/13/bytedance-unity-cooperation/
太陽能,1,成本低於風力發電，北歐太陽能投資力道增,https://technews.tw/2020/11/11/nordic-region-solar/
零組件,0,拜登當選美總統，圍堵華為中芯策略將持續,https://technews.tw/2020/11/14/biden-china-tech-policy-huawei-and-smic/
雲端,1,"數位轉型與新常態生活推升需求，樂觀估 2021 年伺服器出貨成長近 7%",https://technews.tw/2020/11/12/server-shipments-are-estimated-to-grow-nearly-7percent-in-2021/
尖端科技,1,"旅遊泡泡掀搶票熱！星馬機票價格噴，網路搜尋飆 300%",https://technews.tw/2020/11/12/hong-kong-and-singapore-travel-reciprocity/
能源科技,1,東芝宣布停建燃煤發電廠，因應減碳趨勢擴大再生能源布局,https://technews.tw/2020/11/12/toshiba-coal/
尖端科技,1,波士頓動力將出售，天價網紅因不夠商業化再次被嫌棄,https://technews.tw/2020/11/12/boston-dynamics-may-be-sold-again/
尖端科技,0,無人機真如此威猛？淺談雙亞戰爭中遊蕩彈藥的應用,https://technews.tw/2020/11/14/are-drones-so-powerful-on-the-application-of-loitering-munition-in-the-nagorny-karabakh-war/
生物科技,1,"特斯拉 RNA 疫苗列印機，馬斯克：第 3 代已在研發",https://technews.tw/2020/11/13/elon-musk-shares-details-about-teslas-mrna-microfactories-for-curevac/
財經,1,"當一個潛銷案，3 名投資客用現金買走 400 戶……揭開陰影下的房市派對",https://technews.tw/2020/11/14/uncover-the-real-estate-party-in-the-shadows/
醫療科技,1,"繼瑞德西韋之後，FDA 再緊急授權新冠肺炎藥物",https://technews.tw/2020/11/14/following-remdesivir-fda-issues-emergency-use-authorization-for-covid-19-medicine/
太陽能,1,美國再生能源產業樂見拜登當選，盼加速綠能產業發展,https://technews.tw/2020/11/11/us-clean-energy/
醫療科技,0,"與輝瑞較勁？俄羅斯稱 Sputnik V 新冠疫苗有效性達 92%",https://technews.tw/2020/11/14/russia-claims-sputnik-v-vaccine-success/
醫療科技,1,"輝瑞疫苗報佳音！但首批 13 億劑，台灣搶得過這些大國嗎？",https://technews.tw/2020/11/14/pfizer-biontech-vaccine-taiwan-quota/
太陽能,1,長島研究顯示，尖峰燃氣電廠可用電池儲能代替還更省錢,https://technews.tw/2020/11/12/long-island-could-save-money-replacing-old-peakers-with-batteries/
財經,1,"電鑽、油漆賣到股價破百元！這家公司如何靠「3 個顛覆」從中盤商躍升五金通路王",https://technews.tw/2020/11/15/story-of-ald/
生物科技,1,"靈活的固有無序蛋白，不具備 3D 構造但卻不可或缺",https://technews.tw/2020/11/14/intrinsically-disordered-proteins/
生物科技,1,"馬斯克發推文：出現典型感冒症狀，PCR 檢測 1 天後出爐",https://technews.tw/2020/11/13/musk-pcr-test-will-be-released-after-1-day/
